Job Title,Status,Gender,Total Pay Bin,
Firefighter,FT,male,≥ 90K,
Engineer,FT,female,≥ 90K,
Registered Nurse,PT,male,≥ 90K,
Firefighter,FT,male,≥ 90K,
Manager II,FT,male,≥ 90K,
Firefighter,FT,male,≥ 90K,
Police Officer 2,FT,male,≥ 90K,
Engineer,FT,male,≥ 90K,
Firefighter,FT,male,≥ 90K,
Firefighter,FT,female,≥ 90K,
Lieutenant Fire Suppression,FT,male,≥ 90K,
Electronic Maintenance Tech,FT,male,≥ 90K,
Engineer,FT,male,≥ 90K,
IS Engineer-Senior,FT,male,≥ 90K,
Registered Nurse,FT,female,≥ 90K,
Manager III,FT,female,≥ 90K,
Police Officer 3,FT,male,≥ 90K,
Firefighter,FT,male,≥ 90K,
Manager IV,PT,female,≥ 90K,
Manager IV,FT,female,≥ 90K,
Deputy Sheriff,FT,male,≥ 90K,
Police Officer 3,FT,male,≥ 90K,
Police Officer 3,FT,male,≥ 90K,
Police Officer 2,FT,male,≥ 90K,
Registered Nurse,FT,female,≥ 90K,
Attorney (Civil/Criminal),FT,male,≥ 90K,
Registered Nurse,FT,female,≥ 90K,
Transit Supervisor,FT,male,≥ 90K,
Police Officer 3,FT,male,≥ 90K,
Registered Nurse,FT,male,≥ 90K,
Sergeant 3,FT,male,≥ 90K,
Police Officer 2,FT,male,≥ 90K,
Sergeant 3,FT,male,≥ 90K,
Lieutenant Fire Suppression,FT,male,≥ 90K,
Firefighter,FT,male,≥ 90K,
Police Officer 2,FT,male,≥ 90K,
Deputy Sheriff (SFERS),FT,male,≥ 90K,
Registered Nurse,FT,female,≥ 90K,
Police Officer 3,FT,male,≥ 90K,
Attorney (Civil/Criminal),FT,male,≥ 90K,
Engineer,FT,male,≥ 90K,
Police Officer 3,FT,male,≥ 90K,
Police Officer,FT,male,≥ 90K,
Manager IV,FT,male,≥ 90K,
Firefighter,FT,female,≥ 90K,
Manager IV,FT,female,≥ 90K,
Police Officer 3,FT,male,≥ 90K,
Lieutenant Fire Suppression,FT,female,≥ 90K,
Attorney (Civil/Criminal),FT,male,≥ 90K,
Firefighter,FT,male,≥ 90K,
Police Officer 3,FT,female,≥ 90K,
Lieutenant Fire Suppression,FT,male,≥ 90K,
EMT/Paramedic/Firefighter,FT,male,≥ 90K,
Manager II,FT,male,≥ 90K,
Police Officer 3,FT,male,≥ 90K,
Transit Supervisor,FT,male,≥ 90K,
Firefighter,FT,male,≥ 90K,
Sergeant 3,FT,male,≥ 90K,
Police Officer 3,FT,male,≥ 90K,
Deputy Sheriff,FT,male,≥ 90K,
EMT/Paramedic/Firefighter,FT,male,≥ 90K,
Lieutenant Fire Suppression,FT,male,≥ 90K,
Registered Nurse,FT,female,≥ 90K,
Police Officer 3,FT,male,≥ 90K,
Police Officer 3,FT,male,≥ 90K,
Attorney (Civil/Criminal),FT,female,≥ 90K,
Registered Nurse,FT,female,≥ 90K,
Police Officer 2,FT,male,≥ 90K,
Police Officer 2,FT,male,≥ 90K,
Registered Nurse,FT,male,≥ 90K,
Manager IV,FT,female,≥ 90K,
Sergeant 3,FT,male,≥ 90K,
Electronic Maintenance Tech,FT,male,≥ 90K,
EMT/Paramedic/Firefighter,FT,male,≥ 90K,
Police Officer 3,FT,male,≥ 90K,
Registered Nurse,FT,male,≥ 90K,
Sergeant 3,FT,female,≥ 90K,
Sergeant 3,FT,female,≥ 90K,
Lieutenant Fire Suppression,FT,male,≥ 90K,
Deputy Sheriff,FT,male,≥ 90K,
Electrical Transit System Mech,FT,male,≥ 90K,
Deputy Sheriff,FT,male,≥ 90K,
Police Officer 2,FT,male,≥ 90K,
Electrical Transit System Mech,FT,male,≥ 90K,
Police Officer 3,FT,male,≥ 90K,
Firefighter,FT,male,≥ 90K,
Lieutenant Fire Suppression,FT,male,≥ 90K,
Stationary Engineer,FT,male,≥ 90K,
Police Officer 2,FT,male,≥ 90K,
Police Officer 2,FT,male,≥ 90K,
Transit Operator,FT,male,≥ 90K,
Assistant Engineer,FT,male,≥ 90K,
Firefighter,FT,male,≥ 90K,
EMT/Paramedic/Firefighter,FT,male,≥ 90K,
Firefighter,FT,male,≥ 90K,
Police Officer 3,FT,male,≥ 90K,
Registered Nurse,FT,female,≥ 90K,
Lieutenant Fire Suppression,FT,male,≥ 90K,
Firefighter,FT,male,≥ 90K,
Registered Nurse,FT,male,≥ 90K,
EMT/Paramedic/Firefighter,FT,male,≥ 90K,
Transit Operator,FT,male,≥ 90K,
Deputy Sheriff,FT,male,≥ 90K,
Firefighter,FT,male,≥ 90K,
Police Officer 2,FT,male,≥ 90K,
Registered Nurse,FT,female,≥ 90K,
Manager IV,FT,female,≥ 90K,
Police Officer 2,FT,male,≥ 90K,
Registered Nurse,FT,female,≥ 90K,
Sergeant 3,FT,male,≥ 90K,
Registered Nurse,FT,female,≥ 90K,
Nurse Practitioner,PT,female,≥ 90K,
Registered Nurse,FT,male,≥ 90K,
IS Business Analyst-Principal,FT,female,≥ 90K,
Sergeant 3,FT,female,≥ 90K,
Lieutenant Fire Suppression,FT,female,≥ 90K,
Registered Nurse,FT,female,≥ 90K,
Firefighter,FT,female,≥ 90K,
Firefighter,FT,female,≥ 90K,
Sergeant 3,FT,male,≥ 90K,
Deputy Sheriff (SFERS),FT,male,≥ 90K,
Lieutenant Fire Suppression,FT,female,≥ 90K,
Police Officer 2,FT,female,≥ 90K,
Manager IV,FT,male,≥ 90K,
Sergeant 3,FT,female,≥ 90K,
Firefighter,FT,male,≥ 90K,
Registered Nurse,FT,female,≥ 90K,
Sergeant 3,FT,male,≥ 90K,
Police Officer 3,FT,male,≥ 90K,
Firefighter,FT,male,≥ 90K,
Police Officer 3,FT,male,≥ 90K,
Firefighter,FT,male,≥ 90K,
Deputy Sheriff,FT,male,≥ 90K,
Firefighter,FT,male,≥ 90K,
Police Officer 3,FT,male,≥ 90K,
Registered Nurse,FT,female,≥ 90K,
Police Officer 3,FT,female,≥ 90K,
Firefighter,FT,male,≥ 90K,
Lieutenant Fire Suppression,FT,male,≥ 90K,
Deputy Sheriff,FT,male,≥ 90K,
Police Officer 3,FT,male,≥ 90K,
Sergeant 3,FT,male,≥ 90K,
Registered Nurse,FT,female,≥ 90K,
Deputy Sheriff,FT,female,≥ 90K,
Electrical Transit System Mech,FT,male,≥ 90K,
Deputy Sheriff (SFERS),FT,male,≥ 90K,
Deputy Sheriff,FT,male,≥ 90K,
Firefighter,FT,male,≥ 90K,
Registered Nurse,FT,female,≥ 90K,
Registered Nurse,FT,male,≥ 90K,
EMT/Paramedic/Firefighter,FT,male,≥ 90K,
Registered Nurse,FT,female,≥ 90K,
Registered Nurse,FT,male,≥ 90K,
Nurse Practitioner,PT,female,≥ 90K,
Deputy Sheriff (SFERS),FT,male,≥ 90K,
Police Officer 2,FT,male,≥ 90K,
Sergeant 3,FT,male,≥ 90K,
EMT/Paramedic/Firefighter,FT,male,≥ 90K,
Deputy Sheriff,FT,male,≥ 90K,
Attorney (Civil/Criminal),PT,female,≥ 90K,
IS Business Analyst-Principal,FT,male,≥ 90K,
Registered Nurse,FT,female,≥ 90K,
Firefighter,FT,male,≥ 90K,
Firefighter,FT,male,≥ 90K,
Deputy Sheriff,FT,male,≥ 90K,
Lieutenant Fire Suppression,FT,male,≥ 90K,
Police Officer 3,FT,male,≥ 90K,
Transit Operator,FT,male,≥ 90K,
Electrical Transit System Mech,FT,male,≥ 90K,
Registered Nurse,FT,female,≥ 90K,
IS Engineer-Senior,FT,male,≥ 90K,
Nurse Practitioner,FT,female,≥ 90K,
Sergeant 3,FT,female,≥ 90K,
Registered Nurse,FT,female,≥ 90K,
Manager IV,FT,male,≥ 90K,
EMT/Paramedic/Firefighter,FT,male,≥ 90K,
Police Officer 3,FT,female,≥ 90K,
Manager IV,FT,female,≥ 90K,
Police Officer 2,FT,male,≥ 90K,
Manager IV,FT,female,≥ 90K,
Registered Nurse,FT,female,≥ 90K,
Registered Nurse,PT,female,≥ 90K,
Firefighter,FT,male,≥ 90K,
EMT/Paramedic/Firefighter,FT,male,≥ 90K,
Lieutenant Fire Suppression,FT,male,≥ 90K,
Firefighter,FT,male,≥ 90K,
Police Officer 3,FT,male,≥ 90K,
Police Officer 3,FT,male,≥ 90K,
Police Officer 3,FT,male,≥ 90K,
Manager IV,FT,male,≥ 90K,
Police Officer 3,FT,male,≥ 90K,
Electrical Transit System Mech,FT,male,≥ 90K,
Police Officer 3,FT,male,≥ 90K,
Assoc Engineer,FT,male,≥ 90K,
Public SafetyComm Disp,FT,female,≥ 90K,
Assoc Engineer,FT,female,≥ 90K,
Firefighter,FT,male,≥ 90K,
Engineer,FT,male,≥ 90K,
Registered Nurse,FT,female,≥ 90K,
Transit Supervisor,FT,female,≥ 90K,
Sergeant 3,FT,female,≥ 90K,
Police Officer 3,FT,female,≥ 90K,
Police Officer 3,FT,female,≥ 90K,
Registered Nurse,FT,female,≥ 90K,
Assoc Engineer,FT,male,≥ 90K,
Deputy Sheriff,FT,male,≥ 90K,
Registered Nurse,FT,male,≥ 90K,
Police Officer 3,FT,female,≥ 90K,
Lieutenant Fire Suppression,FT,male,≥ 90K,
EMT/Paramedic/Firefighter,FT,female,≥ 90K,
Sergeant 3,FT,male,≥ 90K,
Transit Car Cleaner,FT,male,≥ 90K,
Manager III,FT,male,≥ 90K,
Registered Nurse,FT,female,≥ 90K,
Electrical Transit System Mech,FT,male,≥ 90K,
EMT/Paramedic/Firefighter,FT,male,≥ 90K,
Registered Nurse,FT,female,≥ 90K,
Registered Nurse,FT,female,≥ 90K,
Lieutenant Fire Suppression,FT,male,≥ 90K,
EMT/Paramedic/Firefighter,FT,male,≥ 90K,
Police Officer 2,FT,male,≥ 90K,
Sergeant 3,FT,male,≥ 90K,
Manager III,FT,male,≥ 90K,
Firefighter,FT,male,≥ 90K,
Assistant Engineer,FT,male,≥ 90K,
Registered Nurse,FT,female,≥ 90K,
Firefighter,FT,male,≥ 90K,
EMT/Paramedic/Firefighter,FT,male,≥ 90K,
Sergeant 3,FT,female,≥ 90K,
Lieutenant Fire Suppression,FT,male,≥ 90K,
Sergeant 3,FT,male,≥ 90K,
Sergeant 3,FT,male,≥ 90K,
Registered Nurse,FT,female,≥ 90K,
Sergeant 3,FT,male,≥ 90K,
Manager IV,FT,male,≥ 90K,
Electrical Transit System Mech,FT,male,≥ 90K,
Police Officer 3,FT,male,≥ 90K,
Electronic Maintenance Tech,FT,male,≥ 90K,
Attorney (Civil/Criminal),FT,female,≥ 90K,
Deputy Sheriff,FT,male,≥ 90K,
Registered Nurse,FT,male,≥ 90K,
Registered Nurse,FT,female,≥ 90K,
Deputy Sheriff,FT,male,≥ 90K,
Electrician,FT,male,≥ 90K,
IS Business Analyst-Principal,FT,female,≥ 90K,
Lieutenant Fire Suppression,FT,male,≥ 90K,
EMT/Paramedic/Firefighter,FT,male,≥ 90K,
EMT/Paramedic/Firefighter,FT,male,≥ 90K,
EMT/Paramedic/Firefighter,FT,male,≥ 90K,
IS Engineer-Senior,FT,male,≥ 90K,
Manager IV,FT,male,≥ 90K,
Police Officer 3,FT,male,≥ 90K,
Lieutenant Fire Suppression,FT,male,≥ 90K,
Police Officer 3,FT,male,≥ 90K,
Police Officer 3,FT,male,≥ 90K,
Registered Nurse,FT,male,≥ 90K,
Deputy Sheriff,FT,male,≥ 90K,
Deputy Sheriff,FT,male,≥ 90K,
Lieutenant Fire Suppression,FT,female,≥ 90K,
Firefighter,FT,male,≥ 90K,
Police Officer 2,FT,male,≥ 90K,
IS Engineer-Senior,FT,male,≥ 90K,
Nurse Practitioner,PT,female,≥ 90K,
Deputy Sheriff (SFERS),FT,male,≥ 90K,
Engineer,FT,female,≥ 90K,
Police Officer 3,FT,male,≥ 90K,
Manager IV,FT,male,≥ 90K,
Engineer,FT,male,≥ 90K,
Registered Nurse,FT,female,≥ 90K,
Police Officer 3,FT,male,≥ 90K,
Police Officer 3,FT,male,≥ 90K,
Sergeant 3,FT,male,≥ 90K,
Registered Nurse,FT,male,≥ 90K,
Police Officer 3,FT,male,≥ 90K,
Registered Nurse,FT,male,≥ 90K,
Registered Nurse,FT,female,≥ 90K,
Electronic Maintenance Tech,FT,male,≥ 90K,
Firefighter,FT,male,≥ 90K,
Firefighter,FT,male,≥ 90K,
Manager III,FT,male,≥ 90K,
Registered Nurse,FT,male,≥ 90K,
Police Officer 3,FT,male,≥ 90K,
Police Officer 3,FT,male,≥ 90K,
Registered Nurse,FT,female,≥ 90K,
Registered Nurse,FT,male,≥ 90K,
IS Engineer-Senior,FT,female,≥ 90K,
Registered Nurse,FT,male,≥ 90K,
Manager III,FT,male,≥ 90K,
EMT/Paramedic/Firefighter,FT,male,≥ 90K,
Firefighter,FT,male,≥ 90K,
Police Officer 3,FT,male,≥ 90K,
Firefighter,FT,female,≥ 90K,
Police Officer 2,FT,male,≥ 90K,
Police Officer 3,PT,male,≥ 90K,
Manager III,FT,male,≥ 90K,
Deputy Sheriff,FT,female,≥ 90K,
EMT/Paramedic/Firefighter,FT,male,≥ 90K,
Electrical Transit System Mech,FT,male,≥ 90K,
IS Engineer-Senior,FT,male,≥ 90K,
Manager IV,FT,female,≥ 90K,
Firefighter,FT,male,≥ 90K,
Transit Supervisor,FT,male,≥ 90K,
Electrical Transit System Mech,FT,male,≥ 90K,
Manager IV,FT,male,≥ 90K,
Sergeant 3,FT,male,≥ 90K,
Sergeant 3,FT,female,≥ 90K,
Transit Operator,FT,male,≥ 90K,
Lieutenant 3,PT,female,≥ 90K,
Sergeant 3,FT,male,≥ 90K,
Registered Nurse,FT,female,≥ 90K,
Registered Nurse,FT,female,≥ 90K,
EMT/Paramedic/Firefighter,FT,male,≥ 90K,
Automotive Mechanic,FT,male,≥ 90K,
Police Officer 3,FT,male,≥ 90K,
Firefighter,FT,female,≥ 90K,
Transit Supervisor,FT,male,≥ 90K,
Deputy Sheriff,FT,male,≥ 90K,
Manager IV,FT,female,≥ 90K,
Registered Nurse,FT,female,≥ 90K,
Registered Nurse,FT,female,≥ 90K,
Deputy Sheriff,FT,male,≥ 90K,
Firefighter,FT,male,≥ 90K,
Police Officer 3,FT,male,≥ 90K,
Police Officer 2,FT,male,≥ 90K,
Police Officer 3,FT,male,≥ 90K,
Electronic Maintenance Tech,FT,male,≥ 90K,
Police Officer 3,FT,male,≥ 90K,
Firefighter,FT,male,≥ 90K,
IS Engineer-Senior,FT,male,≥ 90K,
Manager II,FT,female,≥ 90K,
Lieutenant Fire Suppression,FT,female,≥ 90K,
EMT/Paramedic/Firefighter,FT,male,≥ 90K,
Police Officer 3,FT,male,≥ 90K,
IS Business Analyst-Principal,FT,male,≥ 90K,
Manager III,FT,male,≥ 90K,
Deputy Sheriff,FT,male,≥ 90K,
Manager IV,FT,male,≥ 90K,
Police Officer 3,FT,male,≥ 90K,
Registered Nurse,FT,female,≥ 90K,
Police Officer 2,FT,male,≥ 90K,
IS Business Analyst-Principal,FT,female,≥ 90K,
Deputy Sheriff,FT,male,≥ 90K,
Manager IV,FT,male,≥ 90K,
Police Officer 3,FT,female,≥ 90K,
Registered Nurse,FT,female,≥ 90K,
Firefighter,FT,male,≥ 90K,
Lieutenant Fire Suppression,FT,female,≥ 90K,
Registered Nurse,FT,female,≥ 90K,
Police Officer 3,FT,male,≥ 90K,
Deputy Sheriff,FT,male,≥ 90K,
Deputy Sheriff,FT,male,≥ 90K,
Firefighter,FT,female,≥ 90K,
Firefighter,FT,male,≥ 90K,
Lieutenant Fire Suppression,FT,male,≥ 90K,
Police Officer 2,FT,male,≥ 90K,
Engineer,FT,female,≥ 90K,
Registered Nurse,FT,female,≥ 90K,
Manager III,FT,male,≥ 90K,
Firefighter,FT,male,≥ 90K,
Manager IV,FT,female,≥ 90K,
Registered Nurse,FT,female,≥ 90K,
Manager IV,FT,female,≥ 90K,
Manager IV,FT,female,≥ 90K,
Police Officer 3,FT,male,≥ 90K,
Sergeant 3,FT,male,≥ 90K,
Registered Nurse,FT,female,≥ 90K,
Registered Nurse,FT,female,≥ 90K,
Registered Nurse,FT,male,≥ 90K,
Deputy Sheriff,FT,male,≥ 90K,
Attorney (Civil/Criminal),FT,female,≥ 90K,
Registered Nurse,FT,male,≥ 90K,
EMT/Paramedic/Firefighter,FT,male,≥ 90K,
Police Officer 3,FT,female,≥ 90K,
Transit Operator,FT,male,≥ 90K,
Sergeant 3,FT,male,≥ 90K,
Police Officer 2,FT,female,≥ 90K,
Firefighter,FT,female,≥ 90K,
Police Officer 2,FT,male,≥ 90K,
Police Officer 3,FT,male,≥ 90K,
EMT/Paramedic/Firefighter,FT,male,≥ 90K,
Special Nurse,PT,female,≥ 90K,
Nurse Practitioner,PT,female,≥ 90K,
Police Officer 2,FT,male,≥ 90K,
Lieutenant Fire Suppression,PT,male,≥ 90K,
Manager IV,FT,female,≥ 90K,
EMT/Paramedic/Firefighter,FT,male,≥ 90K,
Attorney (Civil/Criminal),FT,male,≥ 90K,
Police Officer 3,FT,male,≥ 90K,
Manager III,FT,male,≥ 90K,
Manager III,FT,female,≥ 90K,
Registered Nurse,FT,female,≥ 90K,
Lieutenant Fire Suppression,FT,male,≥ 90K,
Firefighter,FT,male,≥ 90K,
Police Officer 3,FT,male,≥ 90K,
Police Officer 3,FT,male,≥ 90K,
Lieutenant Fire Suppression,FT,male,≥ 90K,
Police Officer 3,FT,male,≥ 90K,
Firefighter,FT,male,≥ 90K,
Registered Nurse,FT,male,≥ 90K,
Registered Nurse,FT,female,≥ 90K,
Sergeant 3,FT,female,≥ 90K,
Police Officer 3,FT,male,≥ 90K,
Deputy Sheriff (SFERS),FT,male,≥ 90K,
Manager III,FT,male,≥ 90K,
Police Officer 3,FT,male,≥ 90K,
Police Officer 3,FT,male,≥ 90K,
Registered Nurse,FT,female,≥ 90K,
Registered Nurse,FT,female,≥ 90K,
Police Officer 2,FT,male,≥ 90K,
Deputy Sheriff,FT,male,≥ 90K,
Sergeant 3,FT,male,≥ 90K,
Deputy Sheriff,FT,male,≥ 90K,
Electronic Maintenance Tech,FT,male,≥ 90K,
Police Officer 3,FT,male,≥ 90K,
EMT/Paramedic/Firefighter,FT,male,≥ 90K,
Registered Nurse,FT,female,≥ 90K,
Electronic Maintenance Tech,FT,male,≥ 90K,
Electronic Maintenance Tech,FT,male,≥ 90K,
Registered Nurse,FT,male,≥ 90K,
Electronic Maintenance Tech,FT,male,≥ 90K,
Registered Nurse,FT,male,≥ 90K,
Firefighter,FT,female,≥ 90K,
Registered Nurse,FT,female,≥ 90K,
Lieutenant Fire Suppression,FT,male,≥ 90K,
Police Officer 2,FT,male,≥ 90K,
EMT/Paramedic/Firefighter,FT,male,≥ 90K,
Registered Nurse,FT,male,≥ 90K,
Police Officer 3,FT,male,≥ 90K,
Police Officer 3,FT,male,≥ 90K,
Firefighter,FT,male,≥ 90K,
Nurse Practitioner,FT,female,≥ 90K,
Police Officer,FT,male,≥ 90K,
Police Officer 3,FT,male,≥ 90K,
Police Officer 2,FT,male,≥ 90K,
Police Officer 2,FT,female,≥ 90K,
Registered Nurse,FT,female,≥ 90K,
Registered Nurse,FT,female,≥ 90K,
Police Officer 3,FT,male,≥ 90K,
Registered Nurse,FT,female,≥ 90K,
Registered Nurse,FT,male,≥ 90K,
IS Engineer-Senior,FT,male,≥ 90K,
Registered Nurse,FT,female,≥ 90K,
IS Business Analyst-Principal,FT,female,≥ 90K,
Police Officer 3,FT,male,≥ 90K,
Engineer,FT,male,≥ 90K,
Registered Nurse,FT,female,≥ 90K,
Police Officer 3,FT,male,≥ 90K,
Registered Nurse,FT,female,≥ 90K,
Manager IV,FT,male,≥ 90K,
Nurse Practitioner,PT,female,≥ 90K,
Sergeant 3,FT,female,≥ 90K,
Police Officer 3,FT,male,≥ 90K,
Deputy Sheriff (SFERS),FT,male,≥ 90K,
Police Officer 3,FT,male,≥ 90K,
Sergeant 3,FT,male,≥ 90K,
Nurse Practitioner,FT,male,≥ 90K,
EMT/Paramedic/Firefighter,FT,male,≥ 90K,
Senior Physician Specialist,FT,male,≥ 90K,
Engineer,FT,female,≥ 90K,
Sergeant 3,FT,male,≥ 90K,
Lieutenant Fire Suppression,FT,male,≥ 90K,
Sergeant 3,FT,female,≥ 90K,
Firefighter,FT,female,≥ 90K,
Nurse Practitioner,FT,female,≥ 90K,
Sergeant 3,FT,male,≥ 90K,
Attorney (Civil/Criminal),FT,male,≥ 90K,
Attorney (Civil/Criminal),FT,female,≥ 90K,
Attorney (Civil/Criminal),FT,male,≥ 90K,
Registered Nurse,FT,female,≥ 90K,
Registered Nurse,FT,female,≥ 90K,
Attorney (Civil/Criminal),FT,male,≥ 90K,
Sergeant 3,FT,male,≥ 90K,
Senior Physician Specialist,FT,male,≥ 90K,
Sergeant 3,FT,male,≥ 90K,
Sergeant 3,FT,male,≥ 90K,
Police Officer 3,FT,male,≥ 90K,
Firefighter,FT,male,≥ 90K,
Police Officer 3,FT,male,≥ 90K,
Police Officer 3,FT,male,≥ 90K,
Senior Physician Specialist,PT,female,≥ 90K,
Deputy Sheriff,FT,female,≥ 90K,
EMT/Paramedic/Firefighter,FT,male,≥ 90K,
Police Officer 3,FT,male,≥ 90K,
Police Officer 3,FT,male,≥ 90K,
Firefighter,FT,male,≥ 90K,
Police Officer 3,FT,male,≥ 90K,
Sergeant 3,FT,female,≥ 90K,
Nurse Practitioner,FT,female,≥ 90K,
Police Officer 3,FT,male,≥ 90K,
Police Officer 3,FT,male,≥ 90K,
Nurse Practitioner,FT,female,≥ 90K,
Sergeant 3,FT,male,≥ 90K,
Registered Nurse,FT,female,≥ 90K,
Sergeant 3,FT,male,≥ 90K,
Police Officer 3,FT,male,≥ 90K,
Police Officer 3,FT,male,≥ 90K,
Nurse Practitioner,FT,female,≥ 90K,
Police Officer 3,FT,male,≥ 90K,
Sergeant 3,FT,male,≥ 90K,
Nurse Practitioner,FT,male,≥ 90K,
Attorney (Civil/Criminal),FT,male,≥ 90K,
Transit Supervisor,FT,female,≥ 90K,
Transit Supervisor,FT,male,≥ 90K,
Attorney (Civil/Criminal),FT,female,≥ 90K,
Lieutenant 3,FT,male,≥ 90K,
Attorney (Civil/Criminal),FT,male,≥ 90K,
Attorney (Civil/Criminal),FT,male,≥ 90K,
Attorney (Civil/Criminal),FT,male,≥ 90K,
Attorney (Civil/Criminal),FT,male,≥ 90K,
Attorney (Civil/Criminal),FT,female,≥ 90K,
Attorney (Civil/Criminal),FT,male,≥ 90K,
Attorney (Civil/Criminal),FT,female,≥ 90K,
Attorney (Civil/Criminal),FT,male,≥ 90K,
Attorney (Civil/Criminal),FT,female,≥ 90K,
Attorney (Civil/Criminal),FT,male,≥ 90K,
Attorney (Civil/Criminal),FT,male,≥ 90K,
Attorney (Civil/Criminal),FT,female,≥ 90K,
Attorney (Civil/Criminal),FT,female,≥ 90K,
Police Officer 3,FT,male,≥ 90K,
Attorney (Civil/Criminal),FT,female,≥ 90K,
Attorney (Civil/Criminal),FT,female,≥ 90K,
Lieutenant 3,FT,female,≥ 90K,
Attorney (Civil/Criminal),FT,female,≥ 90K,
Attorney (Civil/Criminal),FT,female,≥ 90K,
Attorney (Civil/Criminal),FT,male,≥ 90K,
Attorney (Civil/Criminal),FT,female,≥ 90K,
Attorney (Civil/Criminal),FT,female,≥ 90K,
Sergeant 3,FT,male,≥ 90K,
Nurse Practitioner,FT,female,≥ 90K,
Deputy Sheriff,FT,male,≥ 90K,
Attorney (Civil/Criminal),FT,male,≥ 90K,
Attorney (Civil/Criminal),FT,female,≥ 90K,
Attorney (Civil/Criminal),FT,male,≥ 90K,
Attorney (Civil/Criminal),FT,female,≥ 90K,
Attorney (Civil/Criminal),FT,male,≥ 90K,
Attorney (Civil/Criminal),FT,male,≥ 90K,
Attorney (Civil/Criminal),FT,male,≥ 90K,
Attorney (Civil/Criminal),FT,male,≥ 90K,
Attorney (Civil/Criminal),FT,male,≥ 90K,
Attorney (Civil/Criminal),FT,male,≥ 90K,
Attorney (Civil/Criminal),FT,male,≥ 90K,
Attorney (Civil/Criminal),FT,female,≥ 90K,
Attorney (Civil/Criminal),FT,female,≥ 90K,
Attorney (Civil/Criminal),FT,male,≥ 90K,
Attorney (Civil/Criminal),FT,female,≥ 90K,
Attorney (Civil/Criminal),FT,female,≥ 90K,
Attorney (Civil/Criminal),FT,female,≥ 90K,
Attorney (Civil/Criminal),FT,female,≥ 90K,
Attorney (Civil/Criminal),FT,male,≥ 90K,
Attorney (Civil/Criminal),FT,male,≥ 90K,
Attorney (Civil/Criminal),FT,male,≥ 90K,
Attorney (Civil/Criminal),FT,female,≥ 90K,
Attorney (Civil/Criminal),FT,female,≥ 90K,
Lieutenant Fire Suppression,FT,male,≥ 90K,
Lieutenant 3,FT,male,≥ 90K,
Attorney (Civil/Criminal),FT,male,≥ 90K,
Attorney (Civil/Criminal),FT,male,≥ 90K,
Attorney (Civil/Criminal),FT,male,≥ 90K,
Nurse Practitioner,FT,male,≥ 90K,
Attorney (Civil/Criminal),FT,male,≥ 90K,
Attorney (Civil/Criminal),FT,female,≥ 90K,
Attorney (Civil/Criminal),FT,male,≥ 90K,
Attorney (Civil/Criminal),FT,male,≥ 90K,
Sergeant 3,FT,male,≥ 90K,
Attorney (Civil/Criminal),FT,male,≥ 90K,
Attorney (Civil/Criminal),FT,male,≥ 90K,
Attorney (Civil/Criminal),FT,female,≥ 90K,
Police Officer 3,FT,female,≥ 90K,
Police Officer 3,FT,male,≥ 90K,
Attorney (Civil/Criminal),FT,female,≥ 90K,
Attorney (Civil/Criminal),FT,female,≥ 90K,
Attorney (Civil/Criminal),FT,male,≥ 90K,
Attorney (Civil/Criminal),FT,male,≥ 90K,
Lieutenant Fire Suppression,FT,female,≥ 90K,
Deputy Sheriff,FT,male,≥ 90K,
Attorney (Civil/Criminal),FT,male,≥ 90K,
Sergeant 3,FT,male,≥ 90K,
Police Officer 2,FT,male,≥ 90K,
Sergeant 3,FT,male,≥ 90K,
Firefighter,FT,female,≥ 90K,
Sergeant 3,FT,male,≥ 90K,
Sergeant 3,FT,male,≥ 90K,
Sergeant 3,FT,male,≥ 90K,
Lieutenant Fire Suppression,FT,male,≥ 90K,
Lieutenant Fire Suppression,FT,male,≥ 90K,
Lieutenant Fire Suppression,FT,male,≥ 90K,
Nurse Practitioner,FT,female,≥ 90K,
Lieutenant Fire Suppression,FT,male,≥ 90K,
Assoc Engineer,FT,female,≥ 90K,
Sergeant 3,FT,male,≥ 90K,
Engineer,FT,male,≥ 90K,
Sergeant 3,FT,male,≥ 90K,
Senior Physician Specialist,FT,male,≥ 90K,
Nurse Practitioner,FT,female,≥ 90K,
Sergeant 3,FT,male,≥ 90K,
Lieutenant 3,FT,male,≥ 90K,
Lieutenant Fire Suppression,FT,male,≥ 90K,
Police Officer 3,FT,male,≥ 90K,
Firefighter,FT,female,≥ 90K,
Deputy Sheriff,FT,female,≥ 90K,
Lieutenant Fire Suppression,FT,male,≥ 90K,
Sergeant 3,FT,male,≥ 90K,
Lieutenant 3,FT,male,≥ 90K,
Deputy Sheriff,FT,male,≥ 90K,
Nurse Practitioner,FT,female,≥ 90K,
Firefighter,FT,male,≥ 90K,
Police Officer 3,FT,male,≥ 90K,
Lieutenant 3,FT,female,≥ 90K,
Senior Physician Specialist,FT,female,≥ 90K,
Police Officer 3,FT,male,≥ 90K,
Sergeant 3,FT,male,≥ 90K,
Firefighter,FT,male,≥ 90K,
Firefighter,FT,female,≥ 90K,
Deputy Sheriff,FT,male,≥ 90K,
Deputy Sheriff,FT,male,≥ 90K,
EMT/Paramedic/Firefighter,FT,male,≥ 90K,
EMT/Paramedic/Firefighter,FT,male,≥ 90K,
Lieutenant Fire Suppression,FT,male,≥ 90K,
Sergeant 3,FT,male,≥ 90K,
